asin,brand,title,url,image,rating,reviewUrl,totalReviews,price,originalPrice
B0029F2O3A,Samsung,"Samsung Alias2 U750 Phone, Black (Verizon Wireless)",https://www.amazon.com/Samsung-Alias2-Phone-Verizon-Wireless/dp/B0029F2O3A,https://m.media-amazon.com/images/I/41HWHpfPlML._AC_UY218_ML3_.jpg,3,https://www.amazon.com/product-reviews/B0029F2O3A,29,0,0
B002AS9WEA,Samsung,Samsung a167 Prepaid GoPhone (AT&T),https://www.amazon.com/Samsung-a167-Prepaid-GoPhone-AT/dp/B002AS9WEA,https://m.media-amazon.com/images/I/61OXcZ-oefL._AC_UY218_ML3_.jpg,2.9,https://www.amazon.com/product-reviews/B002AS9WEA,18,0,0
B0033SFV5A,Samsung,Verizon or PagePlus Samsung Smooth U350 Great Condition Blue CDMA Cell Phone,https://www.amazon.com/Verizon-PagePlus-Samsung-U350-Condition/dp/B0033SFV5A,https://m.media-amazon.com/images/I/61nD-TYqHmL._AC_UY218_ML3_.jpg,3.3,https://www.amazon.com/product-reviews/B0033SFV5A,57,64.99,0
B003FCO9XE,Samsung,Samsung Smooth Verizon Wireless Prepaid Mobile Cell Camera Phone CDMA,https://www.amazon.com/Samsung-Smooth-Verizon-Wireless-Prepaid/dp/B003FCO9XE,https://m.media-amazon.com/images/I/61nD-TYqHmL._AC_UY218_ML3_.jpg,2.6,https://www.amazon.com/product-reviews/B003FCO9XE,78,99.99,0
B003P2VNAQ,Samsung,"Samsung Rugby II, Black (AT&T)",https://www.amazon.com/Samsung-Rugby-II-Black-AT/dp/B003P2VNAQ,https://m.media-amazon.com/images/I/81RAS6NJR5L._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B003P2VNAQ,70,179,0
B003XREZ4O,Samsung,"Samsung Gusto, Black (Verizon Wireless)",https://www.amazon.com/Samsung-Gusto-Black-Verizon-Wireless/dp/B003XREZ4O,https://m.media-amazon.com/images/I/8119wz+eORL._AC_UY218_ML3_.jpg,3.4,https://www.amazon.com/product-reviews/B003XREZ4O,16,99.99,0
B0046REOWS,Samsung,Samsung T201G Prepaid Phone (Net10),https://www.amazon.com/Samsung-T201G-Prepaid-Phone-Net10/dp/B0046REOWS,https://m.media-amazon.com/images/I/91zoUJ+sJKL._AC_UY218_ML3_.jpg,3.6,https://www.amazon.com/product-reviews/B0046REOWS,22,64.94,0
B004C7NVD0,Samsung,Samsung Convoy SCH-U640 Cell Phone Ruggedized PTT 2+ megapixel Camera for Verizon,https://www.amazon.com/Samsung-SCH-U640-Ruggedized-megapixel-Verizon/dp/B004C7NVD0,https://m.media-amazon.com/images/I/61ve0RjDSUL._AC_UY218_ML3_.jpg,3.2,https://www.amazon.com/product-reviews/B004C7NVD0,107,199.99,0
B004GLQTG8,Samsung,Samsung R355C Net 10 Unlimited,https://www.amazon.com/Samsung-R355C-Net-10-Unlimited/dp/B004GLQTG8,https://m.media-amazon.com/images/I/51p8LMQ-rIL._AC_UY218_ML3_.jpg,3.5,https://www.amazon.com/product-reviews/B004GLQTG8,146,79.99,0
B004H23JXW,Samsung,"Samsung Focus I917 Unlocked Phone with Windows 7 OS, 5 MP Camera, and Wi-Fi--No Warranty (Black)",https://www.amazon.com/Samsung-I917-Unlocked-Wi-Fi-No-Warranty/dp/B004H23JXW,https://m.media-amazon.com/images/I/81s0xgVWDOL._AC_UY218_ML3_.jpg,3.4,https://www.amazon.com/product-reviews/B004H23JXW,349,0,0
B004YBP8EY,Samsung,Samsung SA-S5260WESP Cellphone - Unlocked Phone - US Warranty - White,https://www.amazon.com/Samsung-SA-S5260WESP-Cellphone-Unlocked-Warranty/dp/B004YBP8EY,https://m.media-amazon.com/images/I/41S2alAozSL._AC_UY218_ML3_.jpg,3.1,https://www.amazon.com/product-reviews/B004YBP8EY,23,0,0
B005B3OXWC,Samsung,Samsung Freeform III Prepaid Phone (MetroPCS),https://www.amazon.com/Samsung-Freeform-Prepaid-Phone-MetroPCS/dp/B005B3OXWC,https://m.media-amazon.com/images/I/81l1bw5bs7L._AC_UY218_ML3_.jpg,3.1,https://www.amazon.com/product-reviews/B005B3OXWC,32,0,0
B006OU39QW,Samsung,Verizon Samsung Convoy U660 No Contract Rugged PTT Cell Phone Grey Verizon,https://www.amazon.com/Verizon-Samsung-Convoy-Contract-Rugged/dp/B006OU39QW,https://m.media-amazon.com/images/I/91xMuzi75uL._AC_UY218_ML3_.jpg,4.1,https://www.amazon.com/product-reviews/B006OU39QW,252,0,0
B006VH79R8,Samsung,Samsung Replenish Prepaid Android Phone (Boost Mobile),https://www.amazon.com/Samsung-Replenish-Prepaid-Android-Mobile/dp/B006VH79R8,https://m.media-amazon.com/images/I/41Z0ow6IIZL._AC_UY218_ML3_.jpg,3.7,https://www.amazon.com/product-reviews/B006VH79R8,84,14.99,0
